716;bbo;I       L       Northern Bobo Madaré
717;bbp;I       L       West Central Banda
718;bbq;I       L       Bamali
719;bbr;I       L       Girawa
720;bbs;I       L       Bakpinka
721;bbt;I       L       Mburku
722;bbu;I       L       Kulung (Nigeria)
723;bbv;I       L       Karnai
724;bbw;I       L       Baba
725;bbx;I       L       Bubia
726;bby;I       L       Befang
728;bca;I       L       Central Bai
729;bcb;I       L       Bainouk-Samik
730;bcc;I       L       Southern Balochi
731;bcd;I       L       North Babar
732;bce;I       L       Bamenyam
733;bcf;I       L       Bamu
734;bcg;I       L       Baga Pokur
735;bch;I       L       Bariai
736;bci;I       L       Baoulé
737;bcj;I       L       Bardi
738;bck;I       L       Bunuba
739;bcl;I       L       Central Bikol
740;bcm;I       L       Bannoni
741;bcn;I       L       Bali (Nigeria)
742;bco;I       L       Kaluli
743;bcp;I       L       Bali (Democratic Republic of Congo)
744;bcq;I       L       Bench
745;bcr;I       L       Babine
746;bcs;I       L       Kohumono
747;bct;I       L       Bendi
748;bcu;I       L       Awad Bing
749;bcv;I       L       Shoo-Minda-Nye
750;bcw;I       L       Bana
752;bcy;I       L       Bacama
753;bcz;I       L       Bainouk-Gunyaamolo
754;bda;I       L       Bayot
755;bdb;I       L       Basap
756;bdc;I       L       Emberá-Baudó
757;bdd;I       L       Bunama
758;bde;I       L       Bade
759;bdf;I       L       Biage
760;bdg;I       L       Bonggi
761;bdh;I       L       Baka (South Sudan)
762;bdi;I       L       Burun
763;bdj;I       L       Bai (South Sudan)
764;bdk;I       L       Budukh
765;bdl;I       L       Indonesian Bajau
766;bdm;I       L       Buduma
767;bdn;I       L       Baldemu
768;bdo;I       L       Morom
769;bdp;I       L       Bende
770;bdq;I       L       Bahnar
771;bdr;I       L       West Coast Bajau
772;bds;I       L       Burunge
773;bdt;I       L       Bokoto
774;bdu;I       L       Oroko
775;bdv;I       L       Bodo Parja
776;bdw;I       L       Baham
777;bdx;I       L       Budong-Budong
778;bdy;I       L       Bandjalang
779;bdz;I       L       Badeshi
780;bea;I       L       Beaver
781;beb;I       L       Bebele
782;bec;I       L       Iceve-Maci
783;bed;I       L       Bedoanas
784;bee;I       L       Byangsi
785;bef;I       L       Benabena
786;beg;I       L       Belait
787;beh;I       L       Biali
788;bei;I       L       Bekati'
789;bej;bej     bej             I       L       Beja
790;bek;I       L       Bebeli
791;bel;bel     bel     be      I       L       Belarusian
792;bem;bem     bem             I       L       Bemba (Zambia)
793;ben;ben     ben     bn      I       L       Bengali
794;beo;I       L       Beami
795;bep;I       L       Besoa
796;beq;I       L       Beembe
798;bes;I       L       Besme
799;bet;I       L       Guiberoua Béte
800;beu;I       L       Blagar
801;bev;I       L       Daloa Bété
802;bew;I       L       Betawi
803;bex;I       L       Jur Modo
804;bey;I       L       Beli (Papua New Guinea)
805;bez;I       L       Bena (Tanzania)
806;bfa;I       L       Bari
807;bfb;I       L       Pauri Bareli
808;bfc;I       L       Panyi Bai
809;bfd;I       L       Bafut
810;bfe;I       L       Betaf
811;bff;I       L       Bofi
812;bfg;I       L       Busang Kayan
813;bfh;I       L       Blafe
814;bfi;I       L       British Sign Language
815;bfj;I       L       Bafanji
816;bfk;I       L       Ban Khor Sign Language
817;bfl;I       L       Banda-Ndélé
818;bfm;I       L       Mmen
819;bfn;I       L       Bunak
820;bfo;I       L       Malba Birifor
821;bfp;I       L       Beba
822;bfq;I       L       Badaga
823;bfr;I       L       Bazigar
824;bfs;I       L       Southern Bai
825;bft;I       L       Balti
826;bfu;I       L       Gahri
828;bfw;I       L       Bondo
829;bfx;I       L       Bantayanon
830;bfy;I       L       Bagheli
831;bfz;I       L       Mahasu Pahari
832;bga;I       L       Gwamhi-Wuri
833;bgb;I       L       Bobongko
834;bgc;I       L       Haryanvi
835;bgd;I       L       Rathwi Bareli
836;bge;I       L       Bauria
837;bgf;I       L       Bangandu
838;bgg;I       L       Bugun
840;bgi;I       L       Giangan
841;bgj;I       L       Bangolan
842;bgk;I       L       Bit
843;bgl;I       L       Bo (Laos)
845;bgn;I       L       Western Balochi
846;bgo;I       L       Baga Koga
847;bgp;I       L       Eastern Balochi
848;bgq;I       L       Bagri
849;bgr;I       L       Bawm Chin
850;bgs;I       L       Tagabawa
851;bgt;I       L       Bughotu
852;bgu;I       L       Mbongno
853;bgv;I       L       Warkay-Bipim
854;bgw;I       L       Bhatri
855;bgx;I       L       Balkan Gagauz Turkish
856;bgy;I       L       Benggoi
857;bgz;I       L       Banggai
858;bha;I       L       Bharia
859;bhb;I       L       Bhili
860;bhc;I       L       Biga
861;bhd;I       L       Bhadrawahi
862;bhe;I       L       Bhaya
863;bhf;I       L       Odiai
864;bhg;I       L       Binandere
865;bhh;I       L       Bukharic
866;bhi;I       L       Bhilali
867;bhj;I       L       Bahing
869;bhl;I       L       Bimin
870;bhm;I       L       Bathari
871;bhn;I       L       Bohtan Neo-Aramaic
872;bho;bho     bho             I       L       Bhojpuri
873;bhp;I       L       Bima
874;bhq;I       L       Tukang Besi South
